post_id,text,post_text,time,image,video,comments,shares,reaction_count,week_day,hour,thích,yêu thích,haha,wow,thương thương,buồn,phẫn nộ,length_text,emoji_count
944802137004100,Cuốn quá hong dứt ra được 🫢,Cuốn quá hong dứt ra được 🫢,2023-11-28 11:12:18,0,0,2202,671,14595,Tuesday,11,4462.0,82.0,7902.0,14.0,29.0,2102.0,4.0,27,1
944225883728392,"eIm mới hai tuổi, mà suốt ngày dính phờ-ốt, tóc xíc là saoooo?
Anh, chị ổn không ạ?","eIm mới hai tuổi, mà suốt ngày dính phờ-ốt, tóc xíc là saoooo?
Anh, chị ổn không ạ?",2023-11-27 11:59:35,1,0,446,148,15157,Monday,11,9850.0,1206.0,521.0,11.0,78.0,3476.0,15.0,83,0
943155540502093,"Trong cuốn sách “Khám phá đứa trẻ bên trong bạn”, tác giả Stefanie Stahl viết: “Có vô số đứa trẻ trong quá trình trưởng thành, linh hồn chúng luôn muốn nhảy xuống những cây cầu. Chỉ là thân thể kiên trì ở lại,Xem thêm tê tê dại dại mà trở thành người lớn.”

Những đứa trẻ đó có thể vụn vỡ dưới áp lực kỳ vọng, có thể tê dại bởi mất đi điểm tựa, có thể phải đối mặt với những “con quái vật” trong chính ngôi nhà của mình.

Nhưng sẽ luôn có ánh sáng cuối đường hầm, dù thứ bạn băng qua có tối tăm đến đâu. Nếu bạn là một cô bé Serina khác, bạn cũng sẽ tìm thấy hy vọng. Đừng bỏ cuộc!

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO x SUZU MUSIC |
Một sản phẩm đồng cảm với những số phận.

#TTCNX","Trong cuốn sách “Khám phá đứa trẻ bên trong bạn”, tác giả Stefanie Stahl viết: “Có vô số đứa trẻ trong quá trình trưởng thành, linh hồn chúng luôn muốn nhảy xuống những cây cầu. Chỉ là thân thể kiên trì ở lại,Xem thêm tê tê dại dại mà trở thành người lớn.”

Những đứa trẻ đó có thể vụn vỡ dưới áp lực kỳ vọng, có thể tê dại bởi mất đi điểm tựa, có thể phải đối mặt với những “con quái vật” trong chính ngôi nhà của mình.

Nhưng sẽ luôn có ánh sáng cuối đường hầm, dù thứ bạn băng qua có tối tăm đến đâu. Nếu bạn là một cô bé Serina khác, bạn cũng sẽ tìm thấy hy vọng. Đừng bỏ cuộc!

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO x SUZU MUSIC |
Một sản phẩm đồng cảm với những số phận.

#TTCNX",2023-11-25 12:30:50,0,1,82,70,1234,Saturday,12,946.0,230.0,0.0,3.0,40.0,15.0,0.0,687,0
942979587186355,"Khi nào thì nhà không còn là nơi để trở về?
Khi nào thì một đứa trẻ buộc phải trốn chạy khỏi mái ấm của mình?
Khi nào thì “nỗi tuyệt vọng trở thành điểm cắt giữa những hy vọng và ngày mai”?

Câu trả lời nằmXem thêm trong AMV ""Từ Trên Cao Nhìn Xuống"" do SuZu Studio và SuZu Music phối hợp sản xuất, sẽ ra mắt vào 19h30 tối nay, ngày 25.11.2023 trên Fanpage & Youtube SuZu Studio.

#TTCNX","Khi nào thì nhà không còn là nơi để trở về?
Khi nào thì một đứa trẻ buộc phải trốn chạy khỏi mái ấm của mình?
Khi nào thì “nỗi tuyệt vọng trở thành điểm cắt giữa những hy vọng và ngày mai”?

Câu trả lời nằmXem thêm trong AMV ""Từ Trên Cao Nhìn Xuống"" do SuZu Studio và SuZu Music phối hợp sản xuất, sẽ ra mắt vào 19h30 tối nay, ngày 25.11.2023 trên Fanpage & Youtube SuZu Studio.

#TTCNX",2023-11-25 04:28:38,0,1,15,33,661,Saturday,4,383.0,210.0,2.0,1.0,10.0,55.0,0.0,386,0
942643393886641,"Dưới đó là dòng người, là mặt đường hay là cái kết cho một cuộc đời?
Từ trên cao nhìn xuống là sự bao quát cho cả một không gian rộng lớn nhưng có khi chỉ là ánh nhìn lơ đễnh vì không biết phải hướng mình vềXem thêm đâu.
Và rồi, cô gái ấy sẽ ra sao khi nhà không còn là nơi để trở về?
Câu trả lời nằm trong:

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO X SUZU MUSIC | 25.11.2023.

#TTCNX","Dưới đó là dòng người, là mặt đường hay là cái kết cho một cuộc đời?
Từ trên cao nhìn xuống là sự bao quát cho cả một không gian rộng lớn nhưng có khi chỉ là ánh nhìn lơ đễnh vì không biết phải hướng mình vềXem thêm đâu.
Và rồi, cô gái ấy sẽ ra sao khi nhà không còn là nơi để trở về?
Câu trả lời nằm trong:

AMV TỪ TRÊN CAO NHÌN XUỐNG | SUZU STUDIO X SUZU MUSIC | 25.11.2023.

#TTCNX",2023-11-24 12:30:20,0,0,30,83,1546,Friday,12,1002.0,348.0,3.0,1.0,16.0,176.0,0.0,384,0
941979430619704,"Hôm trước, mình ngồi xem phim với anh đồng nghiệp. Khi đến phân cảnh mẹ và con gái nấu ăn cùng nhau, anh ấy quay sang bảo:

Trông vui ghê! Mấy lúc về nhà em có hay nấu ăn với mẹ như vậy hông?

Mình sững người mộtXem thêm chút, sau đó cười nhẹ và trả lời bằng vài câu vắn tắt. Thật ra, chuyện “nấu ăn cùng mẹ” là một cái gì đó khiến mình rất ám ảnh. Mẹ mình nóng tính cực! Hồi nhỏ, mình bị la suốt, mẹ mình mắng mình thậm tệ khi mình không làm đúng ý bà. Lặt rau không đúng ý cũng bị ch.ử.i, rửa cá không đúng ý cũng bị ch.ử.i, nêm không chuẩn vị cũng bị ch.ử.i. Không ít lần, mình tự ái, chỉ biết òa khóc rồi trốn vào phòng. Mình từng hứa rằng sẽ không bao giờ vào bếp cùng mẹ nữa.

Bây giờ lớn rồi, mỗi khi về nhà, mình vẫn thường xuyên nhận những lời khó nghe từ mẹ. Hai mẹ con vẫn không thể hòa hợp được. Mình buồn lắm… Mấy khi thấy những bạn nữ khác vui vẻ làm bếp cùng mẹ mà mình thầm ghen tỵ. Càng lớn mình càng chẳng muốn về nhà nữa…

Mọi người đã bao giờ trải qua cảm giác nhà không phải là nơi để về chưa?","Hôm trước, mình ngồi xem phim với anh đồng nghiệp. Khi đến phân cảnh mẹ và con gái nấu ăn cùng nhau, anh ấy quay sang bảo:

Trông vui ghê! Mấy lúc về nhà em có hay nấu ăn với mẹ như vậy hông?

Mình sững người mộtXem thêm chút, sau đó cười nhẹ và trả lời bằng vài câu vắn tắt. Thật ra, chuyện “nấu ăn cùng mẹ” là một cái gì đó khiến mình rất ám ảnh. Mẹ mình nóng tính cực! Hồi nhỏ, mình bị la suốt, mẹ mình mắng mình thậm tệ khi mình không làm đúng ý bà. Lặt rau không đúng ý cũng bị ch.ử.i, rửa cá không đúng ý cũng bị ch.ử.i, nêm không chuẩn vị cũng bị ch.ử.i. Không ít lần, mình tự ái, chỉ biết òa khóc rồi trốn vào phòng. Mình từng hứa rằng sẽ không bao giờ vào bếp cùng mẹ nữa.

Bây giờ lớn rồi, mỗi khi về nhà, mình vẫn thường xuyên nhận những lời khó nghe từ mẹ. Hai mẹ con vẫn không thể hòa hợp được. Mình buồn lắm… Mấy khi thấy những bạn nữ khác vui vẻ làm bếp cùng mẹ mà mình thầm ghen tỵ. Càng lớn mình càng chẳng muốn về nhà nữa…

Mọi người đã bao giờ trải qua cảm giác nhà không phải là nơi để về chưa?",2023-11-23 04:51:18,1,0,674,539,9968,Thursday,4,5923.0,789.0,46.0,9.0,165.0,3035.0,1.0,1014,0
940859944064986,"4 tuổi rưỡi đã biết lấy tay kìm nước mắt, thử hỏi đứa trẻ này đã phải chịu đựng bao nhiêu tổn thương.","4 tuổi rưỡi đã biết lấy tay kìm nước mắt, thử hỏi đứa trẻ này đã phải chịu đựng bao nhiêu tổn thương.",2023-11-21 09:01:01,0,0,4155,4809,104838,Tuesday,9,49071.0,15596.0,320.0,104.0,2704.0,37028.0,15.0,101,0
939784010839246,"Ở trường, những bài học không chỉ nằm trên bảng.","Ở trường, những bài học không chỉ nằm trên bảng.",2023-11-19 13:01:39,1,0,1315,1799,192186,Sunday,13,109684.0,78073.0,464.0,103.0,3731.0,125.0,6.0,48,0
938410677643246,Không ưa nhìn là không được mặc đẹp? 🤔,Không ưa nhìn là không được mặc đẹp? 🤔,2023-11-17 05:03:40,1,0,378,496,11277,Friday,5,6312.0,850.0,57.0,18.0,155.0,3852.0,33.0,38,1
934253571392290,"Cuộc đời là mớ trớ trêu, thật giả lẫn lộn biết đâu mà lần :')","Cuộc đời là mớ trớ trêu, thật giả lẫn lộn biết đâu mà lần :')",2023-11-12 04:30:00,0,0,518,139,7260,Sunday,4,4453.0,90.0,1063.0,10.0,17.0,1621.0,6.0,61,0
